"base_repo_original","repo_stars","repo_forks","repo_createdAt","repo_updatedAt","repo_url","is_mozilla_repo"
"mozilla/sccache",4464,469,"2016-04-26T20:44:16Z","2023-08-07T11:22:43Z","","true"
"clap-rs/clap",11762,940,"2015-02-25T13:36:33Z","2023-08-07T04:46:30Z","docs.rs/clap","false"
"rust-lang/cargo",10762,2106,"2014-03-04T23:20:42Z","2023-08-07T10:58:44Z","https://doc.rust-lang.org/cargo","false"
"servo/rust-mozjs",293,123,"2012-03-29T02:07:23Z","2023-07-30T23:26:07Z","","false"
"google/breakpad",2353,698,"2016-02-29T16:14:14Z","2023-08-04T11:48:56Z","https://chromium.googlesource.com/breakpad/breakpad","false"
"rust-lang/hashbrown",2050,244,"2018-10-28T21:58:58Z","2023-08-07T12:18:40Z","https://rust-lang.github.io/hashbrown","false"
"servo/string-cache",175,76,"2014-06-20T09:44:33Z","2023-08-04T09:06:29Z","","false"
"twitter/hogan.js",5138,466,"2011-12-21T19:58:09Z","2023-08-06T09:36:58Z","http://twitter.github.io/hogan.js","false"
"flightjs/flight",6550,565,"2013-01-30T19:59:30Z","2023-08-07T06:46:00Z","http://flightjs.github.io/","false"
"sayrer/json-sync",66,6,"2010-04-26T20:57:12Z","2023-05-08T11:46:36Z","","false"
"bazelbuild/rules_rust",535,326,"2016-03-15T15:19:27Z","2023-08-07T10:25:49Z","https://bazelbuild.github.io/rules_rust/","false"
"google/cargo-raze",468,118,"2018-02-12T15:30:52Z","2023-07-22T13:50:49Z","","false"
"spullara/interviewcode",39,5,"2015-08-24T21:05:25Z","2021-12-18T01:35:59Z",,"false"
"dryan/twitter-text-py",82,32,"2010-06-22T21:29:21Z","2023-02-27T07:38:03Z","http://dryan.github.io/twitter-text-py/","false"
"twitter/twitter-text",3011,520,"2014-12-03T16:06:17Z","2023-08-05T00:57:17Z","https://developer.twitter.com/en/docs/counting-characters","false"
"vsco/dcdr",179,13,"2016-01-19T18:14:19Z","2023-05-10T13:55:47Z","","false"
"google/closure-compiler",7034,1177,"2014-04-16T15:30:36Z","2023-08-07T13:29:59Z","https://developers.google.com/closure/compiler/","false"
"bazelbuild/bazel",21195,3834,"2014-06-12T16:00:38Z","2023-08-07T12:49:00Z","https://bazel.build","false"
"bazelbuild/rules_go",1266,609,"2016-03-15T15:15:14Z","2023-08-04T02:59:01Z",,"false"
"bazelruby/rules_ruby",91,31,"2019-11-09T01:03:04Z","2023-06-21T13:20:42Z","","false"
"dtolnay/cxx",4912,291,"2019-12-27T06:04:37Z","2023-08-07T06:47:10Z","https://cxx.rs","false"
"facebook/react-native",111112,23665,"2015-01-09T18:10:16Z","2023-08-07T13:35:07Z","https://reactnative.dev","false"
"jin/awesome-bazel",1017,123,"2017-10-24T14:44:24Z","2023-08-06T01:02:22Z","https://jin.github.io/awesome-bazel","false"
"necolas/react-native-web",20913,1807,"2015-06-09T19:25:38Z","2023-08-07T13:25:49Z","https://necolas.github.io/react-native-web","false"
"chromium/chromium",15404,5755,"2018-02-05T20:55:32Z","2023-08-07T13:30:00Z","https://chromium.googlesource.com/chromium/src/","false"
"nwjs/chromium.src",144,133,"2016-01-27T14:17:03Z","2023-07-03T15:36:52Z","","false"
"Rob--W/dont-track-me-google",384,25,"2016-07-09T07:26:01Z","2023-08-05T13:51:55Z",,"false"
"mozilla/web-ext",2373,333,"2016-02-01T18:08:32Z","2023-08-07T11:53:46Z",,"true"
"mozilla/addons-linter",278,159,"2015-09-14T08:34:44Z","2023-07-14T17:11:40Z","","true"
"mdn/browser-compat-data",4553,2102,"2016-03-29T18:50:07Z","2023-08-06T08:58:16Z","https://developer.mozilla.org","false"
"mdn/webextensions-examples",3712,2618,"2015-08-14T19:55:54Z","2023-08-05T14:42:09Z","https://developer.mozilla.org/en-US/Add-ons/WebExtensions","true"
"nwjs/blink",100,44,"2013-06-03T05:07:00Z","2023-04-21T15:56:10Z","","false"
"ladjs/supertest",13152,781,"2012-06-27T20:56:12Z","2023-08-06T20:43:12Z","","false"
"Samsung/ChromiumGStreamerBackend",144,55,"2015-06-17T02:00:00Z","2023-06-28T10:58:36Z",,"false"
"onsip/SIP.js",1703,669,"2013-12-20T16:48:31Z","2023-08-07T11:00:58Z","https://sipjs.com","false"
"operasoftware/operaprestodriver",146,64,"2011-02-08T17:48:50Z","2023-03-08T09:20:52Z","http://code.google.com/p/selenium/wiki/OperaDriver","false"
"jshint/jshint",8914,1759,"2011-01-19T22:28:53Z","2023-08-07T11:16:40Z","http://jshint.com","false"
"mozilla/addons-server",830,544,"2014-01-31T18:44:15Z","2023-08-06T21:32:36Z","https://addons.mozilla.org/","true"
"mozsearch/mozsearch",185,60,"2015-03-16T05:03:18Z","2023-07-12T09:55:37Z","https://searchfox.org/","false"
"CodeYellowBV/chartist-plugin-legend",115,64,"2015-03-20T11:41:13Z","2023-05-08T00:10:37Z","https://codeyellowbv.github.io/chartist-plugin-legend/","false"
"RadLikeWhoa/Countable",1639,141,"2013-03-09T03:20:42Z","2023-07-11T09:54:55Z","https://sacha.me/Countable","false"
"goldfire/howler.js",21956,2182,"2013-01-28T16:47:12Z","2023-08-07T07:36:37Z","https://howlerjs.com","false"
"mozilla/addons-validator",278,159,"2015-09-14T08:34:44Z","2023-07-14T17:11:40Z","","false"
"SeleniumHQ/selenium",27287,7697,"2013-01-14T21:40:56Z","2023-08-07T13:26:36Z","https://selenium.dev","false"
"adblockplus/adblockpluschrome",539,168,"2015-10-12T15:13:18Z","2023-07-25T07:07:17Z","https://adblockplus.org","false"
"adblockplus/backup-adblockpluschrome",220,89,"2012-01-05T06:37:39Z","2023-04-13T07:56:42Z","http://adblockplus.org/","false"
"angular/angular.js",59109,28080,"2010-01-06T00:34:37Z","2023-08-06T00:49:31Z","https://angularjs.org","false"
"blittle/chrome-dev-tools",352,32,"2014-04-11T21:20:11Z","2023-07-12T18:21:47Z",,"false"
"facebook/react-devtools",11025,1863,"2013-09-04T20:28:43Z","2023-08-07T07:33:44Z","","false"
"google/WebFundamentals",13832,2726,"2014-04-28T18:45:45Z","2023-08-07T07:39:41Z","","false"
"gorhill/uBlock",36863,2782,"2015-04-01T17:51:11Z","2023-08-07T12:35:34Z","","false"
"mathiasbynens/document.scrollingElement",129,19,"2015-04-09T13:36:18Z","2023-04-02T13:04:01Z","https://mths.be/scrollingelement","false"
